location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1049467742,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467743,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467746,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467747,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467748,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467751,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467753,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467754,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467755,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467756,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467757,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467758,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467759,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467761,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467764,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467766,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467768,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467772,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467786,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467787,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467798,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467799,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467800,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467808,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467826,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467833,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467835,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467836,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467838,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467847,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467867,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467870,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467872,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467885,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467900,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467901,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467907,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467928,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467935,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467951,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467959,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467977,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467979,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049468083,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049468161,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049468191,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049468217,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049468311,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049468324,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049468466,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049468473,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049468584,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049469032,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049469728,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470848,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470874,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470878,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470883,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470885,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470886,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470902,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470903,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470908,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470910,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470911,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049470912,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471018,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471144,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471178,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471805,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471813,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471825,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471837,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471851,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471852,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471853,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471858,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471886,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471908,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049471917,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472069,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472072,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472073,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472079,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472082,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472083,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472093,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472105,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472114,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472183,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472235,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472614,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472696,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049472973,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473201,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473366,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473417,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473434,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473535,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473602,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473609,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473614,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473630,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473637,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473676,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473677,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473692,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473697,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473701,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473731,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473741,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473752,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473762,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473779,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473780,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473782,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473790,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473793,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473801,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473848,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473906,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473908,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049473942,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049474074,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049474939,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476221,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476286,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476449,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476494,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476513,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049476517,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476529,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476575,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476597,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476600,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476603,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476607,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476612,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476616,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476645,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476669,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476691,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049476710,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476717,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476719,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476720,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476721,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476732,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476773,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476775,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476785,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049476797,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
